url,brand,model,ram,rom,battery,network,sim,warranty_months,discount,price,location,image_url
https://www.lazada.vn/products/pdp-i3104990782.html,OPPO,a53,,,,,,0,50,650000,Hà Nội,https://img.lazcdn.com/g/p/ea96c7eb07112f2faf8282e6d3bdac3d.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3092900878.html,POCO,x7pro,12GB,256GB,6000 mAh,,,0,50,1000000,Vĩnh Phúc,https://img.lazcdn.com/g/p/4088d5ec3e9f7d10227ebacbfd214ddc.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3082344069.html,Xiaomi,13 utra c,,,,,,0,65,840000,Cần Thơ,https://img.lazcdn.com/g/p/9f7e6b4f58058bbdcdf56da994529595.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3082268252.html,Unknown,,,,10600mAh,,,0,65,706300,Cần Thơ,https://img.lazcdn.com/g/p/939d435e2e7f9dd5c3dbb518d932dd6f.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3080392559.html,Unknown,,,,,5G,,0,41,1272769,Hà Nội,https://img.lazcdn.com/g/p/2f4c3a535bd17d4ef97a8c1cd47a3434.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3080288275.html,Samsung,galaxy s22 ultra,,,,5G,,0,0,12750000,Hà Nội,https://img.lazcdn.com/g/p/a7231250cadb25ab8ba6f6a1c9860acf.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3079567304.html,Unknown,,,,3500 mAh,,,0,55,1129000,Hồ Chí Minh,https://img.lazcdn.com/g/p/c45a54d2c58afba85437ecaaeae507e5.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3079123007.html,Samsung,24ut m y,,,,,2,0,65,1050000,Quảng Bình,https://img.lazcdn.com/g/p/5d75944756c32a7fad2b4640e8135ecb.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3079115026.html,Samsung,m51,,,,,2,0,50,700000,Quảng Bình,https://img.lazcdn.com/g/p/09690e5a3d594637b503730822509ecc.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3079108042.html,Redmi,note 10pro,8GB,128GB,5020 mAh,,,0,50,800000,Quảng Bình,https://img.lazcdn.com/g/p/2e3db16dc75b277df74c57c0515a4e6a.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3079101123.html,Unknown,,,,10600mAh,,,0,65,859250,Quảng Bình,https://img.lazcdn.com/g/p/f0cec3b869cb9509c2750bd87011e971.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3079097129.html,OPPO,ffind x8 pro,12GB,256GB,,,,0,50,1500000,Quảng Bình,https://img.lazcdn.com/g/p/0bcdfbf785cea87ae8ed481d946d566c.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3079097126.html,Samsung,a55,,,,5G,,0,50,1100000,Quảng Bình,https://img.lazcdn.com/g/p/1d3dc590396f33e0b4fe9062d507d14f.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3079082231.html,Xiaomi,13 utra c,,,,,,0,65,840000,Quảng Bình,https://img.lazcdn.com/g/p/9f7e6b4f58058bbdcdf56da994529595.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3079082230.html,Redmi,note 12,8GB,128GB,5000 mAh,,,0,65,560000,Quảng Bình,https://img.lazcdn.com/g/p/007c3af28afea99fb048a87be68d07c9.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3079057339.html,Unknown,,,,,,,0,65,776300,Quảng Bình,https://img.lazcdn.com/g/p/14502e16da2f013d6b77bf07b5f08305.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3079056318.html,OPPO,ren0 13,,,,5G,,0,65,980000,Quảng Bình,https://img.lazcdn.com/g/p/a819fad4b27b1ec18e35d18ddb8f56a5.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3079044328.html,OPPO,ren012,12GB,256GB,,5G,,0,65,665000,Quảng Bình,https://img.lazcdn.com/g/p/88036aff56da54e1dafcb8a56ec0f5bd.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3079043523.html,Samsung,z fold 4,,,,,,0,65,980000,Quảng Bình,https://img.lazcdn.com/g/p/f5eb29d04b110755db15abe4a296be1f.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3079043520.html,Samsung,23ut m y,,,,,2,0,50,1300000,Hà Nội,https://img.lazcdn.com/g/p/f28660b3cb1fadc4bc0251d0b6a92bf2.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3079042525.html,Samsung,22ut m y,,,,,2,0,65,840000,Quảng Bình,https://img.lazcdn.com/g/p/549fc3fa7ee835d11af459d03d8cbd37.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3079000668.html,Samsung,23ut m y,,,,,2,0,65,910000,Quảng Bình,https://img.lazcdn.com/g/p/f28660b3cb1fadc4bc0251d0b6a92bf2.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3078998694.html,Unknown,,,,9800mAh,,,0,65,1021300,Quảng Bình,https://img.lazcdn.com/g/p/ba969a01259cabd4746c1dee00ad9605.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3078988707.html,Unknown,,,,10600mAh,,,0,50,1009000,Quảng Bình,https://img.lazcdn.com/g/p/939d435e2e7f9dd5c3dbb518d932dd6f.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3078978745.html,Unknown,,,,21000mAh,,,0,65,671300,Quảng Bình,https://img.lazcdn.com/g/p/5c38be3cbe7e4ccfbf3e77a84fc4878d.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3078973716.html,Xiaomi,14 utra c,,,,,,0,65,980000,Quảng Bình,https://img.lazcdn.com/g/p/46adb94ff5bb2bb07e7386372409f852.jpg_200x200q80.avif
