url,name,discount,price,location,image_url
https://www.lazada.vn/products/pdp-i1634338861.html,"Điện thoại cũ SS J5 Prime ram 2gb/16gb , máy đẹp giá rẻ",Voucher giảm  9%,429.000 ₫,Nam Định,https://img.lazcdn.com/g/ff/kf/S7aabe5ee147741e585b78473428a26c7U.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3139974329.html,"Điện thoại oukitel  wp21 (Ram 12Gb,Rom 256Gb ,chống sốc,chống nước,pin khủng, pin 9.800mAh)",Voucher giảm  50%,1.109.000 ₫,Hà Nội,https://img.lazcdn.com/g/p/14502e16da2f013d6b77bf07b5f08305.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3139850511.html,"Điện thoại SS A32 máy 2sim ram 6G/128G Chính Hãng, VÂN TAY OK",Voucher giảm  50%,800.000 ₫,Hà Nội,https://img.lazcdn.com/g/p/724767a6ee1a8450f63d74b616647f8d.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i2380187050.html,Samsung j7 pro chính hãng,Voucher giảm  14%,850.000 ₫,Quảng Ngãi,https://img.lazcdn.com/g/p/0b5495d07ecb676b8443876b732ff9b3.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3110066406.html,Samsung Galaxy Z Flip3 5G 8/128GB Màn sáng đẹp Không ám / không chấm mực Đẹp tuyển chọn Kèm Phụ Kiện,,5.990.000 ₫,Hà Nội,https://img.lazcdn.com/g/p/d855cf7f0485c1c03b9395440c77ec48.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3139807613.html,"Điện thoại Oukitel WP19 Pin 21000mAh, Vua pin siêu bền, Ram 8G Rom 256G Chính Hãng (tặng cáp bảo vệ sạc)",Voucher giảm  50%,959.000 ₫,Hà Nội,https://img.lazcdn.com/g/p/5c38be3cbe7e4ccfbf3e77a84fc4878d.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3139988168.html,điện thoại 0PP0 Ren08pr0 5G (12GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,Voucher giảm  50%,900.000 ₫,Hà Nội,https://img.lazcdn.com/g/p/674c91cf325950e41cd7550b3f1864cd.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i2252128013.html,Hộp thoại IDF 100 đôi đầy đủ đế gắn và phiến,,453.000 ₫,Hà Nội,https://img.lazcdn.com/g/p/0853ab5c4086c673c644c09fb709e45f.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3139955502.html,"Điện thoại  Redmi_n0te 12 Ram 8GB/128GB pin 5000 mAh máy chính hãng, bảo hành 12 tháng",Voucher giảm  50%,800.000 ₫,Hà Nội,https://img.lazcdn.com/g/p/007c3af28afea99fb048a87be68d07c9.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i2612370474.html,điện thoại 5s,,740.000 ₫,Bến Tre,https://img.lazcdn.com/g/ff/kf/S9beaae070a37430fb8fc6635e0bcca02l.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i2583607697.html,Sạc nhanh Bán giá rẻ Bộ nhớ 8+128GB handphone mướt game Mobile Bảo hành miễn phí điện thoại pin trâu Sạc nhanh điện thoại thông minh Mạng 4G điện thoại giá siêu rẻ Pin Lớn 4800mAh giá rẻ học sinh Camera 18+8MP Rino4  Androi,Voucher giảm  49%,1.107.836 ₫,Hà Nội,https://img.lazcdn.com/g/p/07d342c3396f8281209394b2c0b0f890.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3082331443.html,mới nguyên bản Camera 108/50MP  điện thoại thông minh đánh mọi gaming nặng chất đt thông minh giá rẻ Bộ nhớ 12+512GB điện thoại giá 1kk Vi xử lý 10 nhân Mới 100% Siêu CPU Điện thoại tầm trung Cấu hình mạnh đỉnh Điện,Voucher giảm  48%,1.353.972 ₫,Hà Nội,https://img.lazcdn.com/g/p/a087d9bfa307d4e466610d037fdda1ab.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i2788401880.html,"điện thoại Samsung Galaxy A50 máy 2sim Ram 4G/64G Chính Hãng, lướt Wed Tiktok Facebook Youtube chất, Bảo hành 12 tháng",Voucher giảm  44%,730.000 ₫,Hồ Chí Minh,https://img.lazcdn.com/g/p/d947cd36b4638b98cbbd01269c59a3f1.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3136202560.html,"Điện thoại SS 22ut máy 2sim ram 12G/256G Chính Hãng, bảo hành 12 tháng máy mới 100%",Voucher giảm  50%,1.075.000 ₫,Đăk Lăk,https://img.lazcdn.com/g/p/549fc3fa7ee835d11af459d03d8cbd37.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i2252125017.html,Hộp Thoại IDF 30 đôi đầy đủ đế gắn và phiến,,206.000 ₫,Hà Nội,https://img.lazcdn.com/g/p/c294035a6b6f98b348553e2038bef04d.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3137188441.html,điện thoại 0PP0 Ren08pr0 5G (12GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,Voucher giảm  50%,900.000 ₫,Hồ Chí Minh,https://img.lazcdn.com/g/p/674c91cf325950e41cd7550b3f1864cd.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3136674349.html,[Chính hãng]Điện thoại 0PP0_Ren0 13 pro 5G (12/512) - BH 12 tháng Lỗi 1 đổi 1 trong 30 ngày,Voucher giảm  50%,1.500.000 ₫,Lạng Sơn,https://img.lazcdn.com/g/p/9e45167268e9767cf8e3ad3179ce3ebe.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i2380076682.html,Samsung a20s chính hãng cấu hình mạnh,Voucher giảm  48%,890.000 ₫,Quảng Ngãi,https://img.lazcdn.com/g/p/e1fc4802738ed2524577ad58dc00ecec.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3134825389.html,[Chính hãng]Điện thoại 0PP0_A3 pro 5G - (BH 12 tháng Lỗi 1 đổi 1 trong 30 ngày),,800.000 ₫,Tiền Giang,https://img.lazcdn.com/g/p/ab259cb234a37d277b4461c5afd3b1e3.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i2603851611.html,"Điện thoại Samsung Galaxy A35 5G ( 8GB - 128GB ) - Hàng chính hãng, Mới 100%, Bảo hành 12 tháng",,8.290.000 ₫,Hồ Chí Minh,https://img.lazcdn.com/g/p/2d295880f427b92a0ce754065bd0efe7.png_200x200q80.avif
https://www.lazada.vn/products/pdp-i3139969368.html,"Điện thoại chắc chắn Oukitel WP28 S (Màn hình HD 6,52"",pin 10600mAh,NFC,Ram 16GB(4+12),Rom 128GB, Android 14, Camera13M)",Voucher giảm  50%,1.009.000 ₫,Hà Nội,https://img.lazcdn.com/g/p/939d435e2e7f9dd5c3dbb518d932dd6f.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3136817254.html,"điện thoại 0PP0 Ren08pr0 5G (12GB/256GB) | Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Voucher giảm  50%,905.000 ₫,Thái Bình,https://img.lazcdn.com/g/p/e78309226d73fec5f8c33fc0856f35be.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3136820217.html,"Điện thoại di động chắc chắn Oukitel WP32 Pro, RAM 24Gb(6GB + 18GB),ROM 256GB,Màn hình 6 inch HD,camera 20MP, NFC)",Voucher giảm  50%,1.025.000 ₫,Thái Bình,https://img.lazcdn.com/g/p/9b095e25df555170a3338be4f1e2e1ad.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3139663921.html,"Điện thoại siêu phẩm SS_ A72 5G 128GB-Chính hãng newseal 100%, Bảo hành chính hãng 12 tháng.",Voucher giảm  50%,820.000 ₫,Hà Nội,https://img.lazcdn.com/g/p/5902f9c37479817cea7fcb870f00bb93.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i2594905900.html,Global Version Sạc nhanh Chính hãng Android handphone mướt game Điện thoại Thẻ 2 sim viettel giá rẻ Smartphone Bảo hành miễn phí đien thoại giá rẻ nhất 6.7inch điện thoại rẻ cho học sinh CPU Siêu Android phone Bộ nhớ 16+512G,Voucher giảm  49%,1.008.599 ₫,Hà Nội,https://img.lazcdn.com/g/p/ecb291cbed736f559304dd911a7c2bba.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3134913047.html,[Chính hãng]Điện thoại 0PP0_A3 pro 5G - (BH 12 tháng Lỗi 1 đổi 1 trong 30 ngày),,800.000 ₫,Hưng Yên,https://img.lazcdn.com/g/p/ab259cb234a37d277b4461c5afd3b1e3.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i2582914147.html,test测试 4G Nguyên bản mới Thẻ 2 sim viettel giá rẻ Điện thoại di động Camera 64,Voucher giảm  49%,969.317 ₫,Hà Nội,https://img.lazcdn.com/g/p/ecda296d10252e4711e37f4fe69ce5c1.jpg_200x200q80.avif
